,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
36,"Red Rising        (Red Rising Saga, #1)",Pierce Brown,,2023-04-04,,382.0,4.26,0,2014-01-28,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461354651l/15839976._SY75_.jpg,142394620
37,Stardust,Neil Gaiman,,2023-04-04,,248.0,4.1,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459127484l/16793._SY75_.jpg,142394620
38,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,,2023-04-04,,403.0,4.55,0,2021-01-12,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627489209l/53487237._SY75_.jpg,142394620
39,"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,,2023-04-04,,368.0,4.28,0,2018-06-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514780933l/37786022._SY75_.jpg,142394620
40,"Values in Therapy: A Clinician’s Guide to Helping Clients Explore Values, Increase Psychological Flexibility, and Live a More Meaningful Life",Jenna LeJeune,,2023-04-03,,232.0,4.41,0,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568465127l/43319557._SX50_.jpg,142394620
41,What I Talk About When I Talk About Running,Haruki Murakami,2023-05-27,2023-04-03,3.0,188.0,3.87,1,2007-10-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473397159l/2195464._SY75_.jpg,142394620
42,Consider This: Moments in My Writing Life After Which Everything Was Different,Chuck Palahniuk,2023-05-19,2023-04-03,4.0,256.0,4.38,1,2020-01-07,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568319190l/52500766._SX50_SY75_.jpg,142394620
43,"In Her Nature: How Women Break Boundaries in the Great Outdoors: A Past, Present and Personal Story",Rachel Hewitt,,2023-04-01,,513.0,4.06,0,2023-04-20,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677853602l/61920965._SY75_.jpg,142394620
44,Going to Pieces without Falling Apart: A Buddhist Perspective on Wholeness,Mark Epstein,,2023-03-18,,200.0,3.86,0,1998-06-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403174011l/18736._SY75_.jpg,142394620
45,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2023-03-16,2023-03-16,5.0,401.0,4.22,1,2022-07-05,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687l/58784475._SY75_.jpg,142394620
